#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GetWeatherAdjective_Sunny;sunny;ensoleillé;sonniger;;de sol;;;;;;;;;x
GetWeatherAdjective_Rainy;rainy;pluvieux;regnerischer;;de lluvia;;;;;;;;;x
GetWeatherAdjective_Snowy;snowy;neigeux;verschneiter;;de nieve;;;;;;;;;x
GetWeatherAdjective_Stormy;stormy;orageux;stürmischer;;de tormenta;;;;;;;;;x
GetWeatherAdjective_Windy;windy;venteux;windiger;;de viento;;;;;;;;;x
GetWeatherAdjective_Cloudy;cloudy;nuageux;bewölkter;;de nubes;;;;;;;;;x
GetWeatherAdjective_Foggy;foggy;brumeux;nebelverhangener;;de niebla;;;;;;;;;x
GetTemperature_Sweltering;sweltering;étouffant;glühend heißen;;sofocante;;;;;;;;;x
GetTemperature_Freezing;freezing;glacial;frierenden;;gélido;;;;;;;;;x
GetTemperature_Cold;cold;froid;kalten;;frío;;;;;;;;;x
GetTemperature_Warm;warm;chaud;warmen;;cálido;;;;;;;;;x
GetHolding_Castle_1;castle;le château;Burg;;castillo;;;;;;;;;x
GetHolding_Castle_2;castle;le château;Burg;;castillo;;;;;;;;;x
GetHolding_Castle_3;palace;le palais;Palast;;palacio;;;;;;;;;x
GetHolding_Temple_1;temple;le temple;Tempel;;templo;;;;;;;;;x
GetHolding_Nomad_1;camp;le camp;Lager;;campamento;;;;;;;;;x
GetHolding_Nomad_2;encampment;le campement;Feldlager;;campamento militar;;;;;;;;;x
GetHolding_Nomad_3;palace;le palais;Palast;;palacio;;;;;;;;;x
GetHolding_Tribal_1;village;le village;Dorf;;aldea;;;;;;;;;x
GetHolding_Tribal_2;town;la ville;Städtchen;;pueblo;;;;;;;;;x
GetHolding_Tribal_3;fortress;la forteresse;Festung;;fortaleza;;;;;;;;;x
GetHolding_City_1;city;la cité;Stadt;;ciudad;;;;;;;;;x
GetHolding_City_2;city;la cité;Stadt;;ciudad;;;;;;;;;x
GetHolding_City_3;metropolis;la métropole;Metropole;;metrópoli;;;;;;;;;x
GetHolding_Fallback_1;capital;la capitale;Hauptstadt;;capital;;;;;;;;;x
GetHouseOfWorship_Christian;church;à l'église;Kirche;;iglesia;;;;;;;;;x
GetHouseOfWorship_Muslim;mosque;à la mosquée;Moschee;;mezquita;;;;;;;;;x
GetHouseOfWorship_Pagan;temple;au temple;Tempel;;templo;;;;;;;;;x
GetHouseOfWorship_Zoroastrian;temple;au temple;Tempel;;templo;;;;;;;;;x
GetHouseOfWorship_Jewish;synagogue;à la synagogue;Synagoge;;sinagoga;;;;;;;;;x
GetHouseOfWorship_Hindu;temple;au temple;Tempel;;templo;;;;;;;;;x
GetHouseOfWorship_Buddhist;temple;au temple;Tempel;;templo;;;;;;;;;x
GetHouseOfWorship_Jain;temple;au temple;Tempel;;templo;;;;;;;;;x
